id;components
minecraft:amethyst_block;"{""minecraft:food"": {""nutrition"": 3,""saturation"": 15,""effects"": [{""effect"": {""id"": ""minecraft:poison"",""amplifier"": 1,""duration"": 1000}},{""effect"": {""id"": ""minecraft:night_vision"",""duration"": 6000}}],""using_converts_to"": {""id"":""minecraft:amethyst_shard"",""components"": {""minecraft:food"": {""nutrition"": 1,""saturation"": 0}}}}}"
minecraft:andesite;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:andesite_wall;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:anvil;"{""minecraft:food"": {""nutrition"": 8,""saturation"": 4}}"
minecraft:bamboo;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:bamboo_block;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:bamboo_mosaic;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:beacon;"{""minecraft:food"": {""nutrition"": 20,""saturation"": 20,""eat_seconds"": 30,""effects"": [{""effect"": {""id"": ""minecraft:regeneration""}},{""effect"": {""id"": ""minecraft:strength"",""duration"": 1500}},{""effect"": {""id"": ""minecraft:jump_boost"",""duration"": 1500}},{""effect"": {""id"": ""minecraft:resistance"",""duration"": 1500}},{""effect"": {""id"": ""minecraft:haste"",""duration"": 1500}},{""effect"": {""id"": ""minecraft:speed"",""duration"": 1500}}]}}"
minecraft:blackstone;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:blackstone_wall;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:black_banner;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:black_candle;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:black_carpet;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:black_concrete;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:black_concrete_powder;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:blue_banner;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:blue_candle;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:blue_carpet;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:blue_concrete;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:blue_concrete_powder;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:bone_block;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
